Id,Recomendado,SentimientoGeneral,Dificultad,AspectosPositivos,AspectosNegativos,GeneroMencionado,PlataformaMencionada,HorasJugadas
1,1,Positivo,Difícil,"['Diseño de la ciudad y nivel de detalle', 'Verticalidad en el diseño de niveles', ""Jugabilidad estilo 'lovechild' entre The Witcher y Deus Ex"", 'Variedad de armas y animaciones', 'Historia y personajes profundos', 'Libertad de elección en misiones']","['El juego puede volverse demasiado fácil', 'Falta de consecuencias que impacten el mundo', 'Problemas técnicos (mencionados brevemente)']",Cyberpunk,PC,160 horas
2,0,Negativo,No Mencionado,"['Ambiente y atmósfera', 'Música y banda sonora', 'Misiones secundarias interesantes']","['Muchos errores y bugs', 'Mecánicas RPG limitadas', 'Personalización del personaje pobre', 'No se puede cambiar la apariencia (pelo, etc.) después del inicio', 'Sistema de ropa basado solo en estadísticas', 'Actividades repetitivas', 'Mundo poco interactivo']",RPG,PC,60 horas
3,0,Negativo,No Mencionado,"['Ambiente y atmósfera', 'Música y banda sonora', 'Misiones secundarias interesantes']","['Muchos errores y bugs', 'Mecánicas RPG limitadas', 'Personalización del personaje pobre', 'No se puede cambiar la apariencia (pelo, etc.) después del inicio', 'Sistema de ropa basado solo en estadísticas', 'Actividades repetitivas', 'Mundo poco interactivo']",RPG,PC,60 horas
4,0,Negativo,Difícil,"['Mundo hermoso', 'Personalización de personajes', 'Diseño de moda', 'Sistema cooperativo (vía mod)']","['Jefes y enemigos punitivos/frustrantes', 'Tracking de ataques enemigo excesivo', 'Escasez de runas/recompensas', 'Reutilización excesiva de jefes y enemigos', 'Diseño de jefes tedioso']",Souls-like,PC,34 horas
5,0,Negativo,Difícil,"['Combate satisfactorio (heredado de DS3)', 'Diseño geográfico del mundo', 'Dirección de arte']","['Historia derivativa y conservadora', 'Repetición de contenido (dungeons, jefes)', 'Problemas técnicos (stutter, FPS)', 'Multijugador mal implementado', 'Misiones obtusas sin guía']",Souls-like,PC,150 horas
6,1,Positivo,No Mencionado,"['Excelente escritura de personajes y narrativa', 'Ciudad detallada', 'Sistema de progresión y builds', 'Banda sonora']","['Bugs y errores técnicos', ""Sistema de 'Lifepaths' decepcionante"", 'IA de NPCs y policía pobre', 'Falta de inmersión en el mundo abierto']",RPG,PC,70 horas
7,0,Negativo,No Mencionado,"['Gráficos', 'Banda sonora', 'Interpretación de Keanu Reeves']","['Promesas incumplidas (IA, rutinas de NPCs, sistema policial)', 'RPG lineal con pocas decisiones impactantes', 'Cortes en misiones y mecánicas (wall running)', 'Optimización pobre', 'Mundo poco interactivo']",RPG / Acción,,
8,1,Positivo,Difícil,"['Combate fenomenal y variado', 'Diseño de mundo fantástico', 'Libertad de exploración', 'Gran cantidad de contenido opcional']","['Problemas de rendimiento en zonas de carga', 'Reciclaje de jefes y enemigos']",Souls-like,PC,2000+ horas
9,1,Positivo,Difícil,"['Combate fenomenal y variado', 'Diseño de mundo fantástico', 'Libertad de exploración', 'Gran cantidad de contenido opcional']","['Problemas de rendimiento en zonas de carga', 'Reciclaje de jefes y enemigos']",Souls-like,PC,2000+ horas
10,1,Neutral,No Mencionado,"['Atmósfera de Night City', 'Gráficos y estilo visual', 'Modo foto', 'Variedad de estilos de juego', 'Historia principal']","['Muchos bugs y problemas de rendimiento', 'Misiones secundarias repetitivas', 'Falta de interactividad en el mundo', 'Contenido recortado', 'Sistema de ropa basado en estadísticas']",RPG,PC,
11,1,Positivo,No Mencionado,"['Mundo inmersivo', 'Escritura y narrativa fuerte', 'Personajes memorables', 'Banda sonora']","['Elementos RPG limitados', 'Bugs frecuentes', 'IA de enemigos poco adaptable', 'Lanzamiento desastroso']",RPG,PC,
12,0,Negativo,Difícil,"['Conducción de motocicletas', 'Primeras 4 horas de juego']","['Sigilo deficiente', 'IA de enemigos y NPCs janky', 'Bugs técnicos constantes', 'Sistema de loot repetitivo', 'Dificultad basada en aumento artificial de salud', 'Movimiento tosco', 'Historia apresurada al final']",Acción/RPG,,
13,1,Neutral,Fácil,"['Gráficos', 'Diseño de mundo', 'Escritura y narrativa', 'Banda sonora', 'Variedad de estilos de juego']","['Personalización limitada', 'IA de NPCs y enemigos pobre', 'Loot y sistema RPG insatisfactorios', 'Bugs y rendimiento', 'Lifepaths irrelevantes']",RPG,,
14,1,Negativo,Demasiado Difícil,"['Calidad técnica de producción', 'Mundo estéticamente atractivo']","['Combate dependiente de timings exigentes', 'Inputs laggy/mala respuesta de controles', 'Misiones/progresión obtusa', 'Dependencia total de wikis', 'Historia y motivación del personaje confusas']",Souls-like,PC,
15,0,Negativo,No Mencionado,"['Botón de salto', 'Música', 'Combate montado']","['Mundo vacío', 'Gráficos inconsistentes/lavados', 'Bugs y rendimiento pobre (stutter, crashes)', 'Janky movement', 'Eliminación de sistemas de juegos anteriores', 'Boss design repetitivo']",Souls-like,PC,5 horas
16,1,Positivo,Equilibrado,"['Diseño de mundo y exploración', 'Banda sonora', 'Combate satisfactorio', 'Libertad de aproximación']","['Repetición de estructuras y jefes', 'Dungeons muy similares entre sí', 'Problemas de framerate/stuttering']",Souls-like,PC,50+ horas
17,0,Negativo,Difícil,"['Banda sonora', 'Historia principal']","['Bugs y rendimiento pobre', 'IA pésima', 'Personalización y sistemas RPG superficiales', 'Ausencia de actividades en el mundo', 'Mundo muerto']",RPG,Consola/PC,58 horas
18,0,Negativo,No Mencionado,['Momentos de la historia'],"['Mecánicas de juego mal implementadas', 'Interfaz y gestión de inventario molesta', 'Personalización nula', 'Inconsistencia en el tono narrativo', 'Johnny Silverhand como personaje', 'Contenido recortado']",RPG/Acción,,40 horas
19,0,Negativo,No Mencionado,['Momentos de la historia'],"['Mecánicas de juego mal implementadas', 'Interfaz y gestión de inventario molesta', 'Personalización nula', 'Inconsistencia en el tono narrativo', 'Johnny Silverhand como personaje', 'Contenido recortado']",RPG/Acción,,40 horas
20,0,Neutral,No Mencionado,"['Historia y personajes', 'Gráficos', 'Música y diseño sonoro', 'Actuación de voz']","['Bugs y problemas de rendimiento', 'Mundo abierto superficial', 'IA terrible', 'Falta de interactividad', 'Conducción deficiente']",RPG,,
21,0,Negativo,No Mencionado,"['escritura', 'personajes', 'historia atractiva', 'banda sonora', 'estética visual']","['bugs y glitches', 'mala IA', 'mundo abierto superficial', 'conducción deficiente', 'falta de interactividad en la ciudad', 'sistema de combate mejorable']",Cyberpunk,,
22,0,Negativo,No Mencionado,"['personajes', 'gunplay', 'opciones gráficas personalizables']","['exceso de bugs', 'mal rendimiento', 'controles toscos', 'gestión de inventario', 'IA deficiente']",Cyberpunk,PC,menos de 10 horas
23,0,Negativo,No Mencionado,"['personajes', 'gunplay', 'opciones gráficas personalizables']","['exceso de bugs', 'mal rendimiento', 'controles toscos', 'gestión de inventario', 'IA deficiente']",Cyberpunk,PC,menos de 10 horas
24,0,Negativo,No Mencionado,"['potencial', 'historia principal', 'estética y diseño visual', 'banda sonora']","['bugs', 'inmersión baja', 'poca personalización', 'IA deficiente', 'falta de actividades secundarias']",Cyberpunk,,
25,0,Negativo,No Mencionado,"['historia buena', 'combate decente']","['bugs', 'falta de profundidad en el RPG', 'IA deficiente', 'mundo vacío', 'elecciones irrelevantes']",RPG,,
26,0,Negativo,No Mencionado,"['historia buena', 'combate decente']","['bugs', 'falta de profundidad en el RPG', 'IA deficiente', 'mundo vacío', 'elecciones irrelevantes']",RPG,,
27,0,Negativo,No Mencionado,"['estética visual', 'diseño de sonido', 'algunos personajes interesantes']","['bugs técnicos', 'mal rendimiento', 'conducción pobre', 'combate cuerpo a cuerpo clunky', 'UX irritante', 'IA defectuosa']",Cyberpunk,PC,más de 5 horas
28,0,Negativo,No Mencionado,"['estética visual', 'diseño de sonido', 'algunos personajes interesantes']","['bugs técnicos', 'mal rendimiento', 'conducción pobre', 'combate cuerpo a cuerpo clunky', 'UX irritante', 'IA defectuosa']",Cyberpunk,PC,más de 5 horas
29,0,Negativo,No Mencionado,"['estética visual', 'diseño de sonido', 'algunos personajes interesantes']","['bugs técnicos', 'mal rendimiento', 'conducción pobre', 'combate cuerpo a cuerpo clunky', 'UX irritante', 'IA defectuosa']",Cyberpunk,PC,más de 5 horas
30,1,Positivo,No Mencionado,"['historia', 'personajes', 'ambientación', 'banda sonora']","['conducción deficiente', 'IA de tráfico', 'bugs gráficos', 'minimapa poco útil']",RPG,PC,40 horas
31,1,Positivo,No Mencionado,"['historia', 'personajes', 'ambientación', 'banda sonora', 'sistema de implantes']","['bugs', 'contenido recortado', 'IA pobre', 'rendimiento inicial pobre']",Cyberpunk/RPG,PC,200 horas
